posts,angry,fear,happy,neutral,sad,surprise,type
#新冠康复日记# 水泥鼻三天了完全看不到好转的希望，我宁愿选择第一天的痛 ,0.0,0.08,0.0,0.06,0.86,0.0,INTP
[num]月[num]日腊月二十九[num]:[num]，我来啦@[address]卫视@[address]卫视 #[num]川渝春晚阵容官宣# ,0.09,0.08,0.59,0.33,0.0,0.1,ENFJ
黄夏温haonig更新 [num]                 致命的可爱小hajin👧🏻                  有你们在是幸福❤️ ,0.0,0.0,0.87,0.0,0.0,0.0,ISFJ
今天去面试的时候面试官打印我的简历选错了尺寸 打成了巴掌大的纸😂差点笑场了然后桌上放了叉车的小模型 感觉马上要把这个纸叉走了 ,0.33,0.0,0.25,0.1,0.31,0.31,ENTP
我跟我爸说临近年底 压力好大 工作➕上课太多事了 睡眠也不好我爸说 没事 他请了先生上门查看一下风水等等 马上一切就会很顺利🤦很好 我把希望都寄托在这位先生上了 ,0.0,0.0,0.85,0.0,0.11,0.0,ENFP
日日为收楼心惊肉跳，ting 贷和其它城市烂尾的消息一直在传，我们一直电话投诉、申诉。项目就搞业主代表参观工地、查监管帐户、业主晚宴等活动，平息一下我们的怨言。唉……安个家怎么这么难 ,0.67,0.05,0.0,0.0,0.39,0.0,ENFP
[name]宇 我 也许是 渺小漂流的鱼，是最平庸 的一首诗，但我 深爱着 阳光泥土空气，想用力 自在大口呼吸，去看看 未见 的广袤。@[name]宇yu #[name]宇[num]火星演唱会# ,0.07,0.05,0.75,0.15,0.0,0.0,ENTJ
我的小号每逢周日一片寂静工作日没时间看 周末[name]河飞 咋还跟可可妈们有时差了 ,0.58,0.0,0.0,0.0,0.28,0.19,INTJ
新家的第一个新年简单布置下diy一组新年照！提前祝大家新春快乐呀！！🧨🧨面包片少女 ,0.0,0.0,0.87,0.11,0.06,0.0,INFP
今年的感受是，各行各业不乐观啊……都没有钱啊。各公司裁员的欠薪的不少，公司都没钱了，休闲娱乐消费行业疲软。 ,0.3,0.0,0.05,0.09,0.5,0.0,INFJ
准彬#准彬# 小比比开ins了还和然竣哥哥的ins互动这个表情天哪天哪天哪🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🦊welcome bro~~~(用韩语写英文)🐰🥰,0.0,0.0,0.62,0.14,0.0,0.17,ENFP
#日媒曝羽生结弦老婆身份#虽然很好奇，但是他不公布就不要研究啦 ,0.0,0.08,0.08,0.3,0.13,0.4,INTP
真是写论文时任何事情都比写论文有趣打扫卫生 做饭 收拾房间 新开的剧小城故事多里的男主好眼熟 我一定看过他演的什么配角我很喜欢 上豆瓣搜一下 ,0.07,0.0,0.97,0.0,0.0,0.0,ISTJ
放学去吃了[address]炒米粉，买了一杯茶百道，坐在按摩椅上按摩[num]分钟，然后去六刷喜欢看的电影🎬不要太幸福 ,0.0,0.0,0.98,0.0,0.07,0.0,INFJ
本来人家yy rm和rw yy得好好的 突然有个贱人在那发老头被骂丑之后那个贱人接着反击： 你需要sex女同： 鼠的 和rw笑死我了啊啊啊啊啊啊啊啊啊啊啊啊 ,0.7,0.0,0.29,0.0,0.0,0.13,ENFP
健身人进化，晚饭[num]个茶叶蛋+[num]杯蛋白粉。（其实是懒得开火煮菜，唯一愿意煮的只有茶叶蛋） ,0.0,0.0,0.24,0.47,0.16,0.14,INFP
去看了个专为自闭症人士办的蝴蝶展上万只由他们手作的🦋在漆黑的展廊里以不同的形态停留在既定的网上 只有在这样的空间里才能让人纷纷驻足凝神去观察他们的不同与美好 ,0.06,0.0,0.53,0.32,0.1,0.12,INTP
#百想艺术大赏#[name]和她的爱情保镖们，[address]没来，好像又来了几次 ,0.07,0.06,0.39,0.33,0.28,0.24,ENFP
起床了，什么时候开始@花儿与少年官微 #花儿与少年丝路季与光同行直播预告# ,0.0,0.1,0.47,0.29,0.13,0.12,ISTP
救命了啦！看完看看日期就emo了啦呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜 ,0.17,0.14,0.0,0.08,0.49,0.0,ISFP
李庚希lgx#向全世界安利李庚希# lgx#李庚希我们一起摇太阳# 🔔叮咚，六月它来了，希望好心情每天照常营业，烦心事永久打烊@李庚希teresa ,0.0,0.0,0.97,0.0,0.0,0.0,INFP
至今没有用到适合我的泡沫洁面.....全部都是洗完脸发干，普通洗面奶还有我觉得好用的 ,0.14,0.0,0.07,0.15,0.71,0.0,ISTJ
#五一机票酒店都在咬牙降价#价格是根据商品的保有量浮动的，物以稀为贵，除非你不要 ,0.37,0.0,0.1,0.4,0.13,0.0,INTP
妈妈早上来给我送西瓜！！！（家附近的西瓜就会比较好吃）还顺手送了我一个项链说是给我的换工作礼物但喜欢这个项链的另有其人了饼饼喜欢所有首饰和裙子圆圆只会：发生森莫事 ,0.09,0.0,0.82,0.06,0.06,0.11,ESFP
#微博视界大会# 微光闪耀，热爱前行。我正在#微光荣耀入围影视角色#为[name]荣耀推荐 ！为喜爱角色送出微光，助力ta的荣耀时刻~ 微博视界大会·微光荣耀 ,0.0,0.0,0.84,0.15,0.0,0.0,ISTP
一个[num]年的文献还敢要我钱，当我sci-hub是吃干饭的？ ,0.91,0.0,0.0,0.0,0.0,0.15,INFP
jung kook《still with you》still with you @qq音乐这首歌太好听了，世界变得既安静又浪漫，田柾国真的很棒啊 ,0.09,0.0,1.0,0.0,0.0,0.0,ISFJ
睡觉之前看一下小丁的视频会很助眠~平静地有着活力不知道有没有人能懂 ,0.0,0.0,0.84,0.08,0.0,0.0,ENFP
不准说我们faye是泰国[name]绮，不准说我们yo是傅首尔鸟鸟料理鼠王了，我杀杀杀光你们 ,0.95,0.06,0.0,0.0,0.0,0.0,INFP
湖滩的电音就是在垃圾唱功的遮羞布毫无韵律可言的唱加上电音强行土嗨呃呃 你们自己也知道吧 ,1.0,0.0,0.0,0.07,0.0,0.0,INFP
张真源🍭#张真源全能vocal# ❤#张真源live之神#张哥~晚好呀，你今天过得好嗎，我今天挺好，今天去了见社工，好早就起來快困死了，然后就去了弄眼鏡，那个鼻托掉了，所以要去換一個~今天好空閒~是頹廢一天，今天也是爱张哥的一天~张哥早些休息，晚安，今天辛苦了🌸🌼@时代少年团-张真源 ,0.15,0.06,1.0,0.0,0.13,0.0,ESFP
#[name]回应为什么说结婚要找江浙男人#[address]男人是真的勤劳，不仅出门会赚钱，也能回家做家务，做饭。可以说是出得厅堂，下得厨房。还不阻碍女生追求自己的事业，可以说真的是很好了。 ,0.0,0.0,1.0,0.07,0.0,0.0,INFP
跟我谈网暴？？？烙铁你们造谣同事的时候怎么没想到网暴呢？？？双标去死呀 ,1.0,0.0,0.0,0.0,0.0,0.15,ENFP
#张真源拔[num]个火罐初体验#哈哈哈哈哈哈哈哈今晚的跑男真的好搞笑，可怜真源最后拔了[num]个 ,0.09,0.0,1.0,0.0,0.11,0.08,ENFJ
我再也不这个点出门经过操场了 鲜活的生命中间爬过一具格格不入的蟑螂尸体 ,0.43,0.06,0.06,0.13,0.34,0.07,ENTP
#苏新皓[超话]#💕#苏新皓 实力断层top# 💕#苏新皓 三代第一创作人# 💕#苏新皓 三代淡颜天花板#你是一朵特别的花，想怎么开就怎么开，就算别人都要求你是玫瑰，我也想让你做自己.@tf家族-苏新皓 ,0.0,0.0,0.72,0.28,0.06,0.0,ENTP
真服了，下午说我新闻稿把人名字写错了写错个屁，我赶紧拿出我的底稿当面对质，谁写错了，服气麻烦咱的眼擦亮看清楚再说话吧真服了，谁知道他去哪粘的粘错了 ,1.0,0.0,0.0,0.0,0.0,0.0,INTP
#小鹿念叨叨# 突然好想去看演唱会，想听现场。这几天脑子里老是会想起[name]说的：“这个夏天怎么能没有演唱会呢？怎么能没有音乐呢？” ,0.17,0.0,0.0,0.07,0.6,0.11,INTJ
#李晋晔好帅#晔晔超级帅！！不许再骂了！！我们草哥明明很温柔，情商超高的，不许再骂了 ,0.39,0.05,0.58,0.06,0.0,0.14,INTP
[num].[num]大趴哥[num]天了妈妈折腾一天好累唯一特别开心的事儿是为了去照相馆拍照穿上了结婚时做的旗袍旗袍yyds是真的显瘦！这一天的开心是当年做旗袍留的余量给的 ,0.0,0.0,1.0,0.0,0.0,0.0,INFJ
工作上遇到的恶心人恶心事绝对不能细想细究，否则一整天的好心情都没了，时刻提醒自己麻木地干活，干完立刻回家，这样还能勉强维持正常生活。 ,0.57,0.08,0.12,0.28,0.22,0.0,INFJ
把我爸妈那屋原来堆满退休老干部的陈旧文件的书桌清理干净。成功获得距离房间[num]米的图书馆位置一个。本次断舍离用时：[num]小时[num]分钟。 ,0.06,0.0,0.27,0.73,0.13,0.0,ENTJ
[name]儿和这个心理医生的感情线有必要吗编剧我请问 我看的一头雾水真服了 ,0.54,0.0,0.07,0.14,0.0,0.31,ISFP
常常因为听到好听的歌时无论是赞美还是咒骂都词穷而懊恼自己没文化得如此全方面 ,0.24,0.0,0.0,0.08,0.75,0.05,INTP
今天晚上做实验，发热吃一颗布洛芬，看看会不会过敏。如果不会，那么以后发热到无法忍受的时候我就吃布洛芬。（在此之前这么多年，发热我都只能喝点普通感冒药，退烧药和抗生素不敢用。） ,0.0,0.13,0.09,0.48,0.24,0.0,INTJ
舔牙的时候发现，补过的牙又崩了一角，马上杀回[address]的心都有了坏牙影响我心情💢我这种牙科常客就不适合待在[address]，搜了一圈发现，[address]一家公立三甲口腔医院都没有，全在[address]我还是回[address]再治疗吧 ,0.47,0.0,0.0,0.09,0.58,0.0,ISFJ
别把自己的天赋浪费在爱恨纠缠，学会把自己敏锐的感知与广阔的天地共振。 ,0.0,0.0,0.64,0.42,0.0,0.0,INFJ
趁开学前复诊了一下体检报告上的问题还特意做了一堆检查后挂了专家门诊  结果一分钟不到就出来了哈哈感谢一下支撑我努力工作的身体我会继续好好爱护你的（如果和我一样有多发性乳腺结节的女生，要少吃鸡肉…尤其是肯德基这种油炸类的，然后记得半年复查一次 ） ,0.0,0.0,0.95,0.07,0.13,0.0,INFP
可爱🐭了同事把手柄寄过来了，星战推荐用手柄玩，所以买了半个月了，现在才开始玩，谁能拒绝光剑呢 ,0.12,0.0,0.83,0.0,0.16,0.08,ISTP
两杯冰美式➕冻柠茶 健身房猛猛练完 回家吃筒子骨煮小龙虾拌面 快乐和肥肥肉都是我应得的 现在状态比九十几斤的时候好太多了 ,0.0,0.0,1.0,0.0,0.09,0.0,ENTJ
柳智敏#柳智敏女五一# [num].[num]快来加入 【蛇窝冲锋队】[num]⃣️每日群内小额打ka（一块两块都是爱，一杯奶茶💰雪糕💰都行）[num]⃣️不定期清人（打完以后直接主页超话同步发帖！！！）[num]⃣️无门槛 想要为小柳贡献的都可以进！ 裙 群聊 ,0.0,0.11,0.61,0.32,0.0,0.0,INTJ
看完所有饭拍视频  容容真的好受欢迎 那么多人要合影 有点像自己孩子毕业  欣慰啊 ,0.07,0.06,1.0,0.0,0.0,0.0,INFJ
#[name]奇谭意难平#  能不能把爽去掉重新上啊 我真的好爱[name] ,0.0,0.0,0.84,0.0,0.24,0.0,ENFP
音乐节彩排〈love again〉白色立麦solo baekhyun‼️cr.水印 april_[num]的微博视频 ,0.07,0.08,0.25,0.7,0.06,0.1,ENFP
美图收集册#属于我的美好# 真的很讨厌现在有这么多不同的特典，以前就没几个特典，周边也不多，所以专卡也很好出，追星买物也轻松开心一些现在，不仅有特典，甚至还有[num].[num] [num].[num] [num].[num] [num].[num]真的无语，周边也是一出一堆 ,0.74,0.0,0.07,0.0,0.39,0.0,ENFP
又回去嗑喜欢的画手画的bumbleby，我不要太幸福了！！！ ,0.0,0.0,1.0,0.0,0.0,0.0,ENFP
看厕有感：十个red姐[num]个xxx国留学预备役卧槽你们怎么全是 ,0.42,0.0,0.06,0.06,0.0,0.5,INTJ
😥团支书阳了，希望没啥症状。她真的蛮好的，而且很久以前看班级填的表格，她志愿是上财会计学硕（不知道后来有没有变）。高中闺蜜和室友也有阳的，希望大家都顺顺利利的，不要受到太多影响。 ,0.0,0.0,0.9,0.0,0.07,0.0,INFJ
剪映最新更新的【智能镜头分割】和【智能剪口播】这两个功能真的很好用#剪映日常# ,0.0,0.0,0.65,0.34,0.11,0.0,INFP
#[address]一宝马冲撞人群已致[num]死[num]伤#这个标题说实话很怪，宝马的自动驾驶汽车什么时候投产了 ,0.3,0.15,0.0,0.18,0.09,0.5,INFJ
我获得了#微博之夜#纯美卡等[num]张，偷偷告诉你本轮集卡数top[num]必得盛典门票，期待能亲临现场见到我喜爱的ta！一起参与吧！#[num]纯真真好#集卡邀你来现场 ,0.0,0.0,0.84,0.14,0.0,0.0,ISFP
不剪辑不知道……今天《小喜欢》最后的固定环节……[name]耀让全场粉丝陪他玩了整整[num]分多钟……bk：喜欢这样爱着——粉丝：pp！！！bk：pupupupu……（假装要喊pp）……最后的大屏幕特写，你小子是真的很爽啊billkin tempo in macau 或真敷优海的微博视频 ,0.06,0.0,0.79,0.16,0.0,0.11,ISFP
🏠三年前跟朋友租了一套三居室，当时非常热衷于添置小物件布置房间，觉得生活的幸福感和品质很重要，但后来一年搬了六次家后当时的物件所剩无几，生活的幸福感也就不翼而飞了，自己突然发现诶现在这样也不错，可以做一个homeless 到处飘。 ,0.0,0.0,0.86,0.05,0.13,0.11,ENFP
写文章写了三个session，最后把[num]和[num]顺序换过来了，但是没仔细检查。我就说老师给我圈出来干什么，原来我session[num] 开头的 second of all没改😢😢 ,0.27,0.0,0.0,0.2,0.09,0.38,ENFP
感冒灵的劲太足了 早上喝了一袋 一个上午手都在抖 像灵魂出窍一样 只剩一个空壳子在动 ,0.19,0.11,0.13,0.0,0.51,0.0,ENFJ
《 [num]条简洁的人生建议，受益匪浅。》[num].没有收拾残局的能力就别放纵善变的情绪。[num].只有你放弃的那一刻，才算是真的输了。[num].不要太纠结于“公平”，这只会导致你的停滞不前。[num].敌人和知己，越少越安全。[num].女孩子，洁身自好就是白，自力更生就是富，内外兼修就是美。[num].犹豫吃不吃的时候 ...全文 ,0.0,0.0,0.77,0.32,0.0,0.0,ENFP
中性搭配给我一种舒适感 有时候会选择卡其色 黑白灰 褐色作为我的首选 而宽松也是我选择衣服的条件之一 其实我有足够好 外在特点也不会那么重要吧 但如果要符合社会标准 偶尔还是需要伪装 ,0.0,0.0,0.43,0.39,0.2,0.08,INTJ
公司电脑爆爆红的c盘用尽我浑身本领就腾出来[num]g什么能清什么不能清啊！啊啊啊啊啊啊啊啊啊啊啊好烦 ,1.0,0.0,0.0,0.0,0.09,0.0,INTJ
感慨万千的dream high毕业典礼🎓🥹 嘟嘟啦咘的微博视频 ,0.05,0.0,0.81,0.09,0.06,0.1,INFP
我突然觉得这大半年我其实也成长了很多虽然很慢 虽然和别人比微不足道但和我自己比是有进步的 ,0.0,0.0,0.88,0.0,0.0,0.07,INFP
虽然我不是kid milli和giriboy的粉丝 但他俩也是show me the money的老熟人了  他俩经常跑来跑去 雨露均沾  我肉眼看他俩的脸真的很清晰！ （[name]你能不能学下他俩） 所以发下照片（不发的话觉得可惜） ,0.0,0.0,0.39,0.18,0.26,0.15,ISFJ
入了斌门其他英语老师的方法都好像更。。。（没有拉踩的意思吧） ,0.23,0.0,0.0,0.4,0.06,0.22,ESFJ
每一天都打着在伦敦活着不容易，要对自己好一点的名号狂吃不止不胖才怪了 ,0.45,0.0,0.06,0.0,0.35,0.11,INTP
再不写文章，我的心我的灵魂我的灵感都要彻底与我断绝关系了！！！我要读书！读多多的书！我要写文章！！狗屎都要写下去！！发表发表发表！！不在意有谁看不看得到！！ ,1.0,0.0,0.0,0.0,0.0,0.0,INTJ
睡不着，看了阿西莫夫的《最后的问题》，现在躺着思考万物的起源是什么。 ,0.0,0.0,0.0,0.31,0.53,0.0,ENFP
cnm到底是谁！到底是谁发明了复试啊啊啊啊啊啊啊啊啊啊啊啊啊你个折磨人心智的该死玩意儿！！ ,1.0,0.0,0.0,0.0,0.0,0.0,ENFP
刚好在儿童节寄到的其实是为了不拆卖的[num] cm大头来着，但这也太好摸了吧？？？ ,0.06,0.05,0.28,0.09,0.0,0.54,INTP
好想养猪猪啊啊啊啊啊啊啊啊，已经打入内部了但是还是不知道要怎么养 ,0.42,0.0,0.0,0.07,0.75,0.0,ENFJ
啊啊啊啊很无聊但是戳我笑点的一个对话小黄狗刚刚去拿外卖回来，投喂了我一只鸡翅尖。我过了一会把综艺暂停问她除了鸡翅膀还点了什么，意思是给我尝尝（小黄狗即答：鸡翅膀。意思是除了鸡翅膀还是鸡翅膀。 ,0.11,0.07,0.29,0.29,0.14,0.19,ENFJ
最烦被人评判高低 最烦卷入这个世界的洪流 不得自由 可是谁又能逃得过呢 呵呵…… ,0.89,0.08,0.0,0.0,0.17,0.0,INFP
在美团优选买菜发现菜好便宜。巨便宜。那每次在火锅吃的菜价格都可以买一箩筐了 ,0.14,0.0,0.44,0.13,0.18,0.26,ENFJ
momo和tao酱真的好像啊这张和sana的合照都有点分不出 ,0.0,0.0,0.33,0.15,0.18,0.49,ISTP
每次看asmr都要清醒的睁着眼睛看他们是怎么捅咕的#asmr# ,0.39,0.13,0.11,0.16,0.07,0.12,ENFP
我不是说过谈恋爱很烦还不如约会吗打脸，我现在很想谈恋爱。但是我知道现在不能。 还不能。等我考上法学院，我会的。 ,0.79,0.0,0.0,0.08,0.34,0.0,ENFP
好消息，[address]摘星了！憋了二十多天，球馆开门了！终于可以打球了！不得不说，[address]的防疫效率真好。这些天除了影院和球馆不开门，其他完全不受任何影响。 ,0.0,0.0,0.9,0.0,0.0,0.12,INFJ
已经和室友约好考完研第二天就去美美拍照刚好那天过她的生日买了美瞳 手套  围巾闺蜜说我是做足了准备但是我不知道考完那天我要不要对答案啊啊啊不想影响自己的心情害怕紧张之前刷到查分视频的时候我就已经紧张到爆不能想象真的出成绩那天是什么结果啊啊啊啊啊 ,0.12,0.38,0.0,0.0,0.34,0.09,ISFJ
每当夜深的时候，独自一人在英国就真的很想亲个洋嘴，拉个洋手，抱个帅洋人 ,0.09,0.0,0.82,0.0,0.18,0.0,INFP
看了一下时间，决定看小孩哥和林☁️那场，其他的就不看了，累死我了 ,0.18,0.0,0.0,0.2,0.59,0.08,ISTP
如果我有个女儿，我一定不要求她懂事，培养成自信，乃至自恋的。我对比了一下我周围情路坎坷的，大部分都是自卑、易满足、缺乏安全感的人。培养成专注提升自己能力的、不恋爱脑的。如果自己学历高、工作好，真的人生各个阶段会顺畅很多，身边都是好人，或者说尊重你的人 ,0.0,0.0,0.72,0.33,0.0,0.0,INTP
又看了一遍普罗米亚，我搁电影院刷过三遍，网上这也是第三刷了……好爱…… ,0.0,0.0,0.83,0.05,0.16,0.0,ENFJ
前脚刚和瞳说 刷到一个🍠美女真的是我最最喜欢的脸，后脚就发现美女和我互关了。我不行了  嘴角笑到耳后了。 ,0.1,0.0,0.72,0.05,0.12,0.19,INFP
我们有了一个全新企划评论区收一波大家想问的问题（不好意思的可以发私信或者匿名提问箱） ,0.1,0.0,0.47,0.4,0.0,0.08,ENTP
p人旅行规划 吃的没写，因为p人想着到那再说要不是两天特种兵模式如果多两天我连这个备忘录都不想做 太佩服我自己了，写个规划不用[num]分钟哈哈哈哈哈 ,0.05,0.0,1.0,0.0,0.0,0.0,ISTP
我可能是长大了吧 我开始会考虑自己的利益而不是爱了  不管你怎么骂我 反正我拿到你的钱了就行 ,0.19,0.0,0.36,0.12,0.39,0.05,INFP
#马天宇加盟寄生虫舞台剧# 🐠 #马天宇打卡[address]烧烤# [num].[num].[num] 后台直播 @馬天宇 今天是搞怪娇羞又一秒切换演出状态的马老师 似晰的微博视频 ,0.0,0.13,0.54,0.34,0.0,0.2,ESFP
乐享心声，纵情旋律~我在[num]#微博音乐盛典# pick了我喜欢的《imma get it》，快来和我一起为更多优秀音乐内容助力！ [num]微博音乐盛典 ,0.0,0.0,0.86,0.07,0.0,0.07,INFP
上周五拔了智齿，医生跟我说一周后去拆线，不想请假，就挂了这周六上午的号。结果昨天下午发现周六医生停诊了，让我退号。没办法，还是挂了周五的号，请假就是了。结果，今天下午，周五的医生也停诊了，而且明天也停诊。。。我的线🧵要什么时候拆人生啊，总是充满了诸多的坎坷。 ,0.25,0.0,0.0,0.06,0.55,0.09,INFJ
今天洗澡的时候，想起来妈妈以前问我后不后悔以前的选择，想不想回到高中的时候重新来过，我每次都回答的是太辛苦了不想，但我其实在脑子里脑补过很多次穿越回高中重新开始、重新选择的样子，结局会不会和现在完全不同。我意识到这一点的时候还纳闷，仔细想明明还是愿意的，为啥我妈问我我就说不愿意 ...全文,0.0,0.16,0.0,0.16,0.63,0.23,ENFP
好想做回屁大点事分享者马上马上马上就可以离开这个学校了！！！！明天开始电脑不离身！！！好好利用时间不能再闲着了！！ ,0.94,0.0,0.0,0.0,0.26,0.0,ISFP
一想到这样的日子要持续三年，我就控制不住想即刻刀了我自己。 ,0.45,0.07,0.0,0.06,0.54,0.06,INFJ
谁能想到从我妈家到迪士尼和从我家到迪士尼的的地铁时间几乎差不多呢 ,0.12,0.0,0.0,0.19,0.1,0.52,ESFP
最近手机里被各类鸡汤和养生知识灌满，灌完鸡汤，调整好心情准备上班。 ,0.0,0.0,0.58,0.31,0.16,0.0,INFJ
[name]🐺🐟#[name]世界第一初恋# 幸福没公式但偏爱和细心就是解.你点的歌救了我 ,0.0,0.0,0.8,0.06,0.18,0.06,INFP
们桂文桂就是💊味的代名词 能不能给个双人舞台啊 冯军别逼我跪下求你 ,1.0,0.0,0.0,0.0,0.0,0.0,ESTP
很幸运的是想做什么都有朋友愿意陪我一起记录这[name]伴来我家住了[num]天，家里只有我们两个，一起睡懒觉，一起煲剧，一起吃好多好多零食，一起暴走[num]个钟，一起吃素食，一起去[address]晾衣服～ ,0.0,0.0,0.96,0.0,0.0,0.0,ENFP
哎哟真的可想穿越回去 再多吃两碗米 多吃两口饭 炸串也真是好吃的很啊 ,0.0,0.0,0.9,0.0,0.2,0.0,ENFP
大天才的专我会等到过年的时候跟朋友连麦听 品读经典，过天才人生 ,0.08,0.0,0.81,0.22,0.0,0.0,ENTP
#网曝福彩主持人提前播报中奖球号#把我以前买彩票的钱还给我！！！！！！！！！！！！！！！！！！！！！！！！！！！！！ ,0.85,0.0,0.09,0.06,0.0,0.12,ENTP
小说看多了发现我喜欢的女主类型很多变但是男主的类型基本都差不多 ,0.0,0.0,0.22,0.43,0.33,0.26,ISFJ
终于结束了旅游篇😭本次旅行给大家更新了[num]条vlog均都在[num]分钟左右❤️ ,0.0,0.0,0.76,0.13,0.15,0.0,ENFP
我们家猫猫好会勾引别的猫猫，平时很少喵喵叫，刚刚听到好嗲的一串叫声，咋形容，就是我垂死病中惊坐起，如果我是猫我想爆艹的声音，我一看，果然又在窗户对着别的猫撒娇 ,0.24,0.1,0.25,0.06,0.0,0.3,INFP
#[num]年高考第一个丢准考证的同学#  有的人还没发到准考证，有的人已经丢了 ,0.3,0.11,0.0,0.23,0.3,0.08,ENTJ
想做年度总结但是犯懒不想扒拉相册的p人在大脑放电影过了一年 ,0.21,0.0,0.0,0.08,0.54,0.05,ESTP
himi《hold on to your life》hold on to your life（@网易云音乐） ,0.0,0.07,0.46,0.51,0.0,0.13,INFJ
上高分子课的时候斜后方的硕士生老问我借东西 一会儿借笔一会儿借纸 我真的崩溃了呀大哥 我自己都是一个丢三落四今天问这个借笔明天问那个借笔吃百家饭长大的死丫头 ,0.89,0.0,0.0,0.0,0.22,0.0,ESFP
一看[num]号了怒买台历后续本来打算两套随机卡 怒改三套 不敢想象放假的聚会怎样 ,0.87,0.07,0.0,0.0,0.15,0.18,INFJ
真的是老了 以前一分钟仰卧起坐坐几十个 现在坐五个都累了不想做了 ,0.07,0.0,0.0,0.0,0.96,0.09,ESFP
今天幸福的事情:上完课回到家，发现爸爸帮我换上了夏天的床单被套。 ,0.0,0.0,0.95,0.0,0.0,0.0,ENFP
[address]真的是一个浪漫到极致的城市，是那种让人忘不掉的震撼到心灵的浪漫 ,0.0,0.0,0.99,0.11,0.0,0.09,ISTJ
我发现当这个小区家教真好 一个小时[num]块钱 然后我每天差不多教四个小时 有[num]块  而且我走路五分钟就到小姑娘的家里了  她爸爸那天送来了十斤车厘子（可以折现不….）还有猕猴桃啊米啊啥的 真的特别好  她妈妈偶尔也会做好吃的给我们 真的特别好 小姑娘也很上进 一直在进步 希望暑假再找我hhhh ,0.06,0.0,1.0,0.0,0.0,0.0,ISFJ
休斯顿这个天气又热又湿的 过敏真的很严重ㅠㅠ全身上下都挠得不成样子了 肯定很难受😣😣👩：太显呐 晚餐推荐（점메추）🐱：？啤酒（맥주） ?! o__o👩🐱：晚餐推荐！🐱：炸鸡！[num] 世巡houston场 sendoff ©️logo 魔法显现的微博视频 ,0.07,0.19,0.26,0.27,0.27,0.09,ESTP
恋爱其实是两个人精神内核的博弈和交融的动态过程（甜姐原创） ,0.0,0.0,0.2,0.77,0.09,0.0,ESFP
我跟我妹充满默契的同时看完[name]令（虽然迟到了三年），然后这几天每天两个人互相发几十条[name]或者[name]令周边，症状估计跟晚清大烟馆里抽大烟的人没啥区别。神魂颠倒。。。 ,0.11,0.16,0.11,0.17,0.11,0.27,INFP
可恶啊可能是下午上课喝的那瓶燃茶🍵燃到现在了[name]之后就没这么精神过 ,0.6,0.1,0.0,0.0,0.31,0.17,ENFP
受不了我哥我嫂了，笑死了，我来找我哥帮我压缩文件，结束以后我哥就在玩游戏，打魔兽，遇到公主我哥：公主，是你吗公主？我嫂：我问问我妈我：？ ,0.16,0.1,0.29,0.08,0.11,0.33,ENFP
所有六番都立正站好夹卵缩蛋吧要不以后都出五人团吧您说呢冯局 ,0.89,0.0,0.06,0.11,0.0,0.09,ESFP
倒霉 冷的要死 提前买了手套耳罩 早上去上班叫不到车 走着去 手套掉了一个 ,0.52,0.11,0.0,0.0,0.5,0.0,ENFP
现在很成熟了，伤心的时候分享你的城市了。感觉不会那么直白的展现我的伤心。 ,0.07,0.0,0.0,0.0,1.0,0.0,ENFP
他妈的啊啊啊啊啊遇到心动男嘉宾了我刚从出入境大厅出来，走在路边，旁边主车道上迎面来了个骑着自行车的小帅男草泥马啊啊啊啊啊 我和小帅男纷纷抬头对视而过谁懂 他一抬头，我感觉我的心和眼睛都为他亮起好阳光清爽的小帅男 ,0.11,0.0,0.72,0.0,0.0,0.13,ISTJ
[name]的孩子真他妈惨。。不过老子也没好到哪里去。。。吐了，这个世界。。。 ,0.58,0.07,0.0,0.0,0.45,0.0,ENFP
[num].[num].[num] rj어제 만나서 너무 좋았고 곧 또 만나요 #👑 ,0.0,0.14,0.24,0.49,0.22,0.05,INFP
《花间令》第[num]集 幕后之人欲借刀杀潘樾电视剧花间令的优酷视频 @优酷 ,0.0,0.15,0.0,0.77,0.07,0.0,INFJ
回家就是过得像乡下地主生活  最近又胖又结实  连续五天吃了六顿小龙虾 家里真热闹啊 ,0.1,0.0,0.9,0.0,0.11,0.12,ENFJ
得了一种 一听到循迹就自动脑补阿蒲在运筹帷幄玩游戏画面 的病怎么会有一首歌这么适配的啊！！ ,0.46,0.0,0.0,0.0,0.13,0.43,ENFP
生气了！真的生气了！在日本淋了场大雪狠狠感冒了一周多！很久没回[address]了想多吃点火锅江湖菜什么的饱饱口福，结果吃不出味道的层次了！喝奶茶只有甜味没有茶香味和奶香味，吃饭只有一点点辣味根本没有香味！我好生气😤！ ,0.99,0.0,0.0,0.0,0.15,0.0,ENTP
#马嘉祺弈局斩雾二十驭风# 到了，还在，拖了这么久终于打卡成功 ,0.0,0.0,0.77,0.0,0.18,0.11,INFP
为开店所摆的[num]种小吃，第[num]道话梅菠萝冰 你的列表的微博视频 ,0.0,0.09,0.09,0.78,0.0,0.18,ISTJ
